CaseID;Activity;Timestamp;Party_Names;Area_of_Law;EurLex_Link;EurLex_Country;ECLI;Activity_Party;Activity_group;Case_Category
C-100/23 P;Application (OJ);2023-04-14;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0100;EN;;;Applications;C
C-100/23 P;Judgment;2025-08-01;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0100;EN;ECLI:EU:C:2025:610;;Judgments;C
C-100/23 P;Judgment (OJ);2025-09-29;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0100;EN;;;Judgments;C
C-100/24;Request for a preliminary ruling;2024-02-07;bonprix;Freedom of movement for persons - Freedom of establishment Freedom of movement for persons - Freedom of establishment Freedom to provide services Consumer protection Approximation of laws;https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62024CJ0100;DE;;;Requests;C
C-100/24;Application (OJ);2024-05-03;bonprix;Freedom of movement for persons - Freedom of establishment Freedom of movement for persons - Freedom of establishment Freedom to provide services Consumer protection Approximation of laws;https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62024CJ0100;DE;;;Applications;C
C-100/24;Judgment;2025-05-15;bonprix;Freedom of movement for persons - Freedom of establishment Freedom of movement for persons - Freedom of establishment Freedom to provide services Consumer protection Approximation of laws;https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62024CJ0100;DE;ECLI:EU:C:2025:352;;Judgments;C
C-100/24;Judgment (OJ);2025-06-20;bonprix;Freedom of movement for persons - Freedom of establishment Freedom of movement for persons - Freedom of establishment Freedom to provide services Consumer protection Approximation of laws;https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62024CJ0100;DE;;;Judgments;C
C-101/23 P;Application (OJ);2023-04-14;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0101;EN;;;Applications;C
C-101/23 P;Judgment;2025-08-01;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0101;EN;ECLI:EU:C:2025:613;;Judgments;C
C-101/23 P;Judgment (OJ);2025-09-29;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0101;EN;;;Judgments;C
C-102/23 P;Application (OJ);2023-04-14;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0102;EN;;;Applications;C
C-102/23 P;Judgment;2025-08-01;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0102;EN;ECLI:EU:C:2025:616;;Judgments;C
C-102/23 P;Judgment (OJ);2025-09-29;PNB Banka v ECB;Economic and monetary policy - European Central Bank (ECB) Economic and monetary policy - European Central Bank (ECB);https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62023CJ0102;EN;;;Judgments;C
C-11/24 P;Order;2025-02-04;D’Agostino v ECB;Law governing the institutions Law governing the institutions;https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:62024CO0011;;ECLI:EU:C:2025:54;;Orders;C
